FID;FID_1;REGION;PROVINCIA;COMUNA;NOM_REGION;NOM_PROVIN;NOM_COMUNA;TOTAL_VIVI;PARTICULAR;COLECTIVAS;TOTAL_PERS;POR_HOMBRES;HOMBRES;POR_MUJERES;MUJERES;DENSIDAD;MEDIA_MAS;INDICE_MAS;INDICE_DEP;IND_DEP_JU;IND_DEP_VE;Shape__Are;Shape__Len
127;128;13;135;13504;REGIÓN METROPOLITANA DE SANTIAGO;MELIPILLA;MARÍA PINTO;4852;4850;2;13590;50.3;6830;49.7;6760;34.4;menor;101;47.1;30.2;16.9;568714163.8;129127.9872
128;129;13;135;13505;REGIÓN METROPOLITANA DE SANTIAGO;MELIPILLA;SAN PEDRO;4187;4184;3;9726;52.8;5132;47.2;4594;12.4;mayor;111.7;54.8;32.7;22.1;1145957342;193496.7866
129;130;13;136;13601;REGIÓN METROPOLITANA DE SANTIAGO;TALAGANTE;TALAGANTE;23271;23251;20;74237;49.5;36769;50.5;37468;586.4;menor;98.1;45.3;31.2;14.1;183173127.7;80507.18231
130;131;13;136;13602;REGIÓN METROPOLITANA DE SANTIAGO;TALAGANTE;EL MONTE;11869;11860;9;35923;49.5;17793;50.5;18130;312.7;menor;98.1;48.6;33.5;15.1;166417181.5;59105.88437
131;132;13;136;13603;REGIÓN METROPOLITANA DE SANTIAGO;TALAGANTE;ISLA DE MAIPO;11826;11817;9;36219;49.8;18051;50.2;18168;191.3;menor;99.4;47.5;32.4;15.1;274806417;95287.68935
132;133;13;136;13604;REGIÓN METROPOLITANA DE SANTIAGO;TALAGANTE;PADRE HURTADO;20807;20787;20;63250;49.7;31452;50.3;31798;780.2;menor;98.9;45.6;32.7;12.9;116995684.1;60467.8754
133;134;13;136;13605;REGIÓN METROPOLITANA DE SANTIAGO;TALAGANTE;PEÑAFLOR;28549;28522;27;90201;48.7;43944;51.3;46257;1301;menor;95;47.1;32.5;14.6;100206934.7;46417.5398
134;135;6;61;6101;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;RANCAGUA;90043;89904;139;241774;48.8;117942;51.2;123832;923.7;menor;95.2;47.7;31.1;16.6;382835855.2;96984.98187
135;136;6;61;6102;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;CODEGUA;4402;4394;8;12988;50.1;6510;49.9;6478;45.5;menor;100.5;46.4;31.1;15.3;417146783.4;150733.9951
136;137;6;61;6103;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;COINCO;2808;2804;4;7359;50.7;3729;49.3;3630;75.7;menor;102.7;50.6;28.7;21.9;142817347.6;72907.51769
137;138;6;61;6104;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;COLTAUCO;7567;7562;5;19597;50.0;9806;50.0;9791;88.1;menor;100.2;50.1;31.3;18.7;326618189.2;106546.9989
138;139;6;61;6105;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;DOÑIHUE;7738;7732;6;20887;49.8;10394;50.2;10493;260.6;menor;99.1;49.3;32.2;17.1;117361953.5;52774.79572
139;140;6;61;6106;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;GRANEROS;11391;11379;12;33437;49.7;16634;50.3;16803;297.9;menor;99;48.7;34.5;14.2;164020453.6;66122.21938
140;141;6;61;6107;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;LAS CABRAS;11894;11863;31;24640;51.4;12656;48.6;11984;32.8;menor;105.6;48.5;29.5;19.1;1098777079;186833.928
141;142;6;61;6108;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;MACHALÍ;19701;19678;23;52505;48.7;25585;51.3;26920;20.2;menor;95;48.9;36.7;12.3;3813705887;342001.7174
142;143;6;61;6109;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;MALLOA;5023;5018;5;13407;50.9;6819;49.1;6588;60.9;menor;103.5;48.3;28.2;20.1;324704461.1;131887.3857
143;144;6;61;6110;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;MOSTAZAL;9100;9090;10;25343;50.0;12663;50.0;12680;48.3;menor;99.9;49;32.4;16.6;764970785.6;150242.1814
144;145;6;61;6111;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;OLIVAR;4636;4630;6;13608;50.1;6822;49.9;6786;287.6;menor;100.5;46.5;31;15.5;69414146.44;46209.05362
145;146;6;61;6112;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;PEUMO;4931;4924;7;14313;50.6;7237;49.4;7076;92.2;menor;102.3;47.9;29.1;18.9;227862745.2;72526.44195
146;147;6;61;6113;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;PICHIDEGUA;7287;7277;10;19714;51.1;10080;48.9;9634;61.8;menor;104.6;48.8;28.6;20.2;468907659.3;123228.448
147;148;6;61;6114;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;QUINTA DE TILCOCO;4740;4729;11;13002;50.1;6519;49.9;6483;149.9;menor;100.6;47.5;28.6;18.9;127652869.2;53803.51737
148;149;6;61;6115;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;RENGO;20848;20827;21;58825;49.0;28844;51.0;29981;100.6;menor;96.2;48.7;31.6;17;862735969.3;199876.8608
149;150;6;61;6116;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;REQUÍNOA;9236;9210;26;27968;50.5;14125;49.5;13843;41.5;menor;102;46;31.7;14.3;991141596.1;166382.7341
150;151;6;61;6117;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CACHAPOAL;SAN VICENTE;17584;17564;20;46766;49.8;23302;50.2;23464;96.6;menor;99.3;49.4;29.4;19.9;714307297.2;145933.5335
151;152;6;62;6201;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CARDENAL CARO;PICHILEMU;12056;12029;27;16394;50.6;8289;49.4;8105;22.9;menor;102.3;47.6;27.9;19.7;1052382636;218509.9181
152;153;6;62;6202;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CARDENAL CARO;LA ESTRELLA;1893;1891;2;3041;52.7;1603;47.3;1438;7;mayor;111.5;51.4;24.5;26.9;634667849.9;149534.449
153;154;6;62;6203;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CARDENAL CARO;LITUECHE;3485;3476;9;6294;52.2;3287;47.8;3007;10.2;menor;109.3;51.2;27.7;23.4;905889919.8;226737.2445
154;155;6;62;6204;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CARDENAL CARO;MARCHIHUE;3419;3411;8;7308;51.2;3745;48.8;3563;11.1;menor;105.1;50.6;25.9;24.7;967222047.5;202216.2949
155;156;6;62;6205;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CARDENAL CARO;NAVIDAD;5525;5509;16;6641;52.3;3475;47.7;3166;22.2;menor;109.8;59.7;25.7;34;435844577.1;114251.989
156;157;6;62;6206;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;CARDENAL CARO;PAREDONES;3852;3840;12;6188;52.0;3220;48.0;2968;10.8;menor;108.5;53.5;24.3;29.3;850074173.5;162088.6044
157;158;6;63;6301;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;SAN FERNANDO;28736;28661;75;73973;48.8;36077;51.2;37896;31.9;menor;95.2;49.4;31.9;17.5;3446549937;321145.7995
158;159;6;63;6302;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;CHÉPICA;5740;5736;4;15037;50.4;7577;49.6;7460;31.5;menor;101.6;50.4;28.6;21.8;710036666.6;177737.6462
159;160;6;63;6303;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;CHIMBARONGO;12923;12909;14;35399;50.4;17824;49.6;17575;69.6;menor;101.4;47.7;30.1;17.6;755422186.8;148337.5705
160;161;6;63;6304;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;LOLOL;2982;2976;6;6811;51.0;3471;49.0;3340;11.4;menor;103.9;52.9;26.4;26.5;886407475.4;173083.865
161;162;6;63;6305;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;NANCAGUA;6546;6535;11;17833;49.5;8830;50.5;9003;117.6;menor;98.1;48.3;29.8;18.5;224367071.8;90301.81997
162;163;6;63;6306;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;PALMILLA;4553;4549;4;12482;50.7;6331;49.3;6151;53.1;menor;102.9;45.7;27.3;18.4;347149636.6;102886.8309
163;164;6;63;6307;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;PERALILLO;4490;4485;5;11007;50.3;5538;49.7;5469;39;menor;101.3;49.1;27.3;21.8;416263186.1;116181.2263
164;165;6;63;6308;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;PLACILLA;3180;3174;6;8738;50.7;4432;49.3;4306;60.6;menor;102.9;48.2;28.4;19.8;213666461.5;67740.83435
165;166;6;63;6309;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;PUMANQUE;1670;1668;2;3421;51.2;1751;48.8;1670;7.8;menor;104.9;49.7;21.3;28.4;652377725.3;130162.8408
166;167;6;63;6310;REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;COLCHAGUA;SANTA CRUZ;14334;14300;34;37855;49.1;18593;50.9;19262;96.1;menor;96.5;48.5;29.5;19;583245594.8;152689.6205
167;168;7;71;7101;REGIÓN DEL MAULE;TALCA;TALCA;80810;80575;235;220357;47.9;105622;52.1;114735;949.8;menor;92.1;45.2;27.9;17.3;350271466.8;103620.7858
168;169;7;71;7102;REGIÓN DEL MAULE;TALCA;CONSTITUCIÓN;18740;18660;80;46068;49.9;23005;50.1;23063;34.5;menor;99.7;47.5;32.5;14.9;2007967541;316189.4224
169;170;7;71;7103;REGIÓN DEL MAULE;TALCA;CUREPTO;4556;4550;6;9448;51.4;4852;48.6;4596;8.8;menor;105.6;56;24.1;31.9;1600601693;232997.1353
170;171;7;71;7104;REGIÓN DEL MAULE;TALCA;EMPEDRADO;1660;1652;8;4142;53.1;2199;46.9;1943;7.3;mayor;113.2;48.8;29.9;18.9;860620385;173674.0431
171;172;7;71;7105;REGIÓN DEL MAULE;TALCA;MAULE;18683;18670;13;49721;48.8;24259;51.2;25462;204.6;menor;95.3;48.7;38.6;10.1;367211249.4;98098.61625
172;173;7;71;7106;REGIÓN DEL MAULE;TALCA;PELARCO;3282;3278;4;8422;50.2;4231;49.8;4191;25.5;menor;101;51.8;29.7;22.1;498573968.7;137191.7715
173;174;7;71;7107;REGIÓN DEL MAULE;TALCA;PENCAHUE;3555;3551;4;8245;51.4;4242;48.6;4003;8.6;menor;106;49.9;26.7;23.2;1438625970;214402.3057
174;175;7;71;7108;REGIÓN DEL MAULE;TALCA;RÍO CLARO;5506;5500;6;13906;52.1;7246;47.9;6660;32.1;menor;108.8;47.5;28.2;19.3;650377519.1;175015.9045
175;176;7;71;7109;REGIÓN DEL MAULE;TALCA;SAN CLEMENTE;18387;18348;39;43269;50.1;21677;49.9;21592;9.6;menor;100.4;49.8;31.3;18.5;6841275148;545188.1644
176;177;7;71;7110;REGIÓN DEL MAULE;TALCA;SAN RAFAEL;3593;3590;3;9191;49.7;4569;50.3;4622;34.9;menor;98.9;52.3;33.2;19.1;395618296.8;117189.349
177;178;7;72;7201;REGIÓN DEL MAULE;CAUQUENES;CAUQUENES;17895;17878;17;40441;47.8;19314;52.2;21127;19;menor;91.4;56.7;31;25.7;3250404905;373173.8198
178;179;7;72;7202;REGIÓN DEL MAULE;CAUQUENES;CHANCO;3704;3697;7;8928;49.8;4450;50.2;4478;16.9;menor;99.4;54.2;30.1;24.1;802100029.7;165847.5249
179;180;7;72;7203;REGIÓN DEL MAULE;CAUQUENES;PELLUHUE;5791;5758;33;7571;49.7;3765;50.3;3806;20.5;menor;98.9;58.2;31.6;26.5;564084594.8;160176.4861
180;181;7;73;7301;REGIÓN DEL MAULE;CURICÓ;CURICÓ;54598;54549;49;149136;48.6;72511;51.4;76625;111.9;menor;94.6;46.1;30.2;15.8;2001250360;386869.8127
181;182;7;73;7302;REGIÓN DEL MAULE;CURICÓ;HUALAÑÉ;4329;4322;7;9657;50.6;4883;49.4;4774;15.3;menor;102.3;52.9;27.6;25.4;942370842.4;214202.163
182;183;7;73;7303;REGIÓN DEL MAULE;CURICÓ;LICANTÉN;3959;3931;28;6653;50.4;3353;49.6;3300;24.5;menor;101.6;49.8;27.7;22.2;405683609.6;138129.9612
183;184;7;73;7304;REGIÓN DEL MAULE;CURICÓ;MOLINA;17338;17305;33;45976;49.2;22635;50.8;23341;30.3;menor;97;48.3;30.4;17.9;2287254842;416934.2497
184;185;7;73;7305;REGIÓN DEL MAULE;CURICÓ;RAUCO;4158;4156;2;10484;50.0;5238;50.0;5246;33.9;menor;99.8;49.6;29.4;20.2;460962581;162931.8043
185;186;7;73;7306;REGIÓN DEL MAULE;CURICÓ;ROMERAL;5709;5684;25;15187;50.2;7624;49.8;7563;9.5;menor;100.8;45.8;29.1;16.7;2399735651;313962.2219
186;187;7;73;7307;REGIÓN DEL MAULE;CURICÓ;SAGRADA FAMILIA;6842;6837;5;18544;50.6;9384;49.4;9160;33.8;menor;102.4;45.9;27.9;18.1;820070280.7;159034.5011
187;188;7;73;7308;REGIÓN DEL MAULE;CURICÓ;TENO;10807;10789;18;28921;51.0;14764;49.0;14157;46.7;menor;104.3;46.6;28.8;17.8;922297327.6;204317.2187
188;189;7;73;7309;REGIÓN DEL MAULE;CURICÓ;VICHUQUÉN;3465;3453;12;4322;51.3;2217;48.7;2105;9.6;menor;105.3;52;26.1;25.8;671583317.6;143627.6374
189;190;7;74;7401;REGIÓN DEL MAULE;LINARES;LINARES;35676;35641;35;93602;47.7;44671;52.3;48931;63.8;menor;91.3;50.1;31.3;18.8;2243375927;350473.4082
190;191;7;74;7402;REGIÓN DEL MAULE;LINARES;COLBÚN;9021;8995;26;20765;49.1;10205;50.9;10560;7.1;menor;96.6;52.5;32;20.4;4488931911;528791.8557
191;192;7;74;7403;REGIÓN DEL MAULE;LINARES;LONGAVÍ;11888;11881;7;30534;50.7;15482;49.3;15052;21;menor;102.9;48.9;29.5;19.4;2232577639;325230.4994
192;193;7;74;7404;REGIÓN DEL MAULE;LINARES;PARRAL;17448;17427;21;41637;48.4;20165;51.6;21472;25.4;menor;93.9;53.8;32.4;21.4;2522235104;429278.2117
193;194;7;74;7405;REGIÓN DEL MAULE;LINARES;RETIRO;8260;8251;9;19974;50.3;10054;49.7;9920;24.2;menor;101.4;50.9;30.1;20.9;1262941186;242686.4229
194;195;7;74;7406;REGIÓN DEL MAULE;LINARES;SAN JAVIER;17895;17869;26;45547;48.3;22002;51.7;23545;34.7;menor;93.4;51.7;31.7;19.9;1987214685;263007.4913
195;196;7;74;7407;REGIÓN DEL MAULE;LINARES;VILLA ALEGRE;6833;6826;7;16221;48.6;7880;51.4;8341;85.4;menor;94.5;53.4;30.8;22.6;288426096.8;88351.79802
196;197;7;74;7408;REGIÓN DEL MAULE;LINARES;YERBAS BUENAS;6813;6811;2;18081;50.5;9125;49.5;8956;69.6;menor;101.9;49.6;31.4;18.2;394528556;105830.9633
197;198;16;161;16101;REGIÓN DEL ÑUBLE;DIGUILLÍN;CHILLÁN;67854;67744;110;184739;47.4;87521;52.6;97218;388.9;menor;90;46.7;28.9;17.8;737849045.7;257551.5204
198;199;16;161;16102;REGIÓN DEL ÑUBLE;DIGUILLÍN;BULNES;8751;8742;9;21493;48.3;10382;51.7;11111;50.3;menor;93.4;51.1;29.9;21.3;666358727.2;138020.6859
199;200;16;161;16103;REGIÓN DEL ÑUBLE;DIGUILLÍN;CHILLÁN VIEJO;11276;11267;9;30907;47.2;14581;52.8;16326;117.2;menor;89.3;46.9;33;13.9;410572534.5;112307.4587
200;201;16;161;16104;REGIÓN DEL ÑUBLE;DIGUILLÍN;EL CARMEN;4913;4909;4;12044;49.5;5967;50.5;6077;18.1;menor;98.2;53.3;29;24.3;1044451751;189569.129
201;202;16;161;16105;REGIÓN DEL ÑUBLE;DIGUILLÍN;PEMUCO;3430;3425;5;8448;50.0;4221;50.0;4227;15;menor;99.9;50.4;29.5;20.9;882226498.5;242420.8567
202;203;16;161;16106;REGIÓN DEL ÑUBLE;DIGUILLÍN;PINTO;5429;5414;15;10827;49.3;5336;50.7;5491;9.8;menor;97.2;49.2;27.1;22.1;1729502956;323736.1538
203;204;16;161;16107;REGIÓN DEL ÑUBLE;DIGUILLÍN;QUILLÓN;10739;10734;5;17485;49.6;8664;50.4;8821;43;menor;98.2;54.2;27.8;26.3;635126893.2;158991.5584
204;205;16;161;16108;REGIÓN DEL ÑUBLE;DIGUILLÍN;SAN IGNACIO;6651;6647;4;16079;49.0;7882;51.0;8197;44.4;menor;96.2;50.7;28.4;22.3;565992102.1;151410.9851
205;206;16;161;16109;REGIÓN DEL ÑUBLE;DIGUILLÍN;YUNGAY;8284;8265;19;17787;50.4;8964;49.6;8823;21.6;menor;101.6;51.4;29.3;22.1;1297010795;253489.3135
206;207;16;162;16201;REGIÓN DEL ÑUBLE;ITATA;QUIRIHUE;5248;5234;14;11594;49.0;5679;51.0;5915;19.8;menor;96;53.2;28.9;24.3;899020977.8;219747.2515
207;208;16;162;16202;REGIÓN DEL ÑUBLE;ITATA;COBQUECURA;3213;3199;14;5012;50.4;2525;49.6;2487;8.7;menor;101.5;53.9;22.7;31.2;886199713.9;198607.1483
208;209;16;162;16203;REGIÓN DEL ÑUBLE;ITATA;COELEMU;6140;6128;12;15995;49.2;7873;50.8;8122;46.5;menor;96.9;53.1;30.5;22.5;532782358.6;123516.389
209;210;16;162;16204;REGIÓN DEL ÑUBLE;ITATA;NINHUE;2299;2297;2;5213;49.2;2567;50.8;2646;12.9;menor;97;55;25.7;29.3;622034044.9;147825.2947
210;211;16;162;16205;REGIÓN DEL ÑUBLE;ITATA;PORTEZUELO;2070;2067;3;4862;49.7;2416;50.3;2446;16.8;menor;98.8;54.1;27.3;26.8;447824610.9;107003.7196
211;212;16;162;16206;REGIÓN DEL ÑUBLE;ITATA;RÁNQUIL;2826;2821;5;5755;49.4;2842;50.6;2913;23.1;menor;97.6;58.3;28;30.3;386357581.5;101751.0297
212;213;16;162;16207;REGIÓN DEL ÑUBLE;ITATA;TREGUACO;2524;2522;2;5401;50.0;2703;50.0;2698;17.2;menor;100.2;52.7;27.8;24.9;484071326.2;147016.5651
213;214;16;163;16301;REGIÓN DEL ÑUBLE;PUNILLA;SAN CARLOS;20980;20963;17;53024;47.9;25425;52.1;27599;60.5;menor;92.1;51;29.5;21.5;1354553610;253659.8921
214;215;16;163;16302;REGIÓN DEL ÑUBLE;PUNILLA;COIHUECO;10054;10048;6;26881;49.9;13424;50.1;13457;15.2;menor;99.8;47.8;30.9;16.9;2760211455;332897.7848
215;216;16;163;16303;REGIÓN DEL ÑUBLE;PUNILLA;ÑIQUÉN;4842;4837;5;11152;50.4;5616;49.6;5536;22.6;menor;101.4;56.1;28.1;28.1;761201673.5;192477.4978
216;217;16;163;16304;REGIÓN DEL ÑUBLE;PUNILLA;SAN FABIÁN;2306;2298;8;4308;51.1;2203;48.9;2105;2.8;menor;104.7;55.4;28.8;26.6;2396107112;379516.7014
217;218;16;163;16305;REGIÓN DEL ÑUBLE;PUNILLA;SAN NICOLÁS;4727;4725;2;11603;50.0;5796;50.0;5807;20.5;menor;99.8;49.6;27.8;21.8;878015120.2;162472.1175
218;219;8;81;8101;REGIÓN DEL BIOBÍO;CONCEPCIÓN;CONCEPCIÓN;85638;85352;286;223574;48.1;107624;51.9;115950;1033.6;menor;92.8;39.2;21.8;17.3;337655453.9;104779.9358
219;220;8;81;8102;REGIÓN DEL BIOBÍO;CONCEPCIÓN;CORONEL;41175;41144;31;116262;48.0;55799;52.0;60463;424.9;menor;92.3;47.6;33.2;14.4;429472775;156823.693
220;221;8;81;8103;REGIÓN DEL BIOBÍO;CONCEPCIÓN;CHIGUAYANTE;28959;28943;16;85938;47.1;40505;52.9;45433;1354.6;menor;89.2;44.6;28.3;16.3;99210118.5;60471.58667
221;222;8;81;8104;REGIÓN DEL BIOBÍO;CONCEPCIÓN;FLORIDA;5172;5164;8;10624;50.7;5386;49.3;5238;17.5;menor;102.8;51.5;25.9;25.6;946532324;175992.4493
222;223;8;81;8105;REGIÓN DEL BIOBÍO;CONCEPCIÓN;HUALQUI;9031;9012;19;24333;48.7;11843;51.3;12490;45.5;menor;94.8;49.2;32.6;16.6;839128259.9;168142.4353
223;224;8;81;8106;REGIÓN DEL BIOBÍO;CONCEPCIÓN;LOTA;15489;15486;3;43535;48.1;20950;51.9;22585;378.5;menor;92.8;48.9;30;18.9;180821659.6;80583.61524
224;225;8;81;8107;REGIÓN DEL BIOBÍO;CONCEPCIÓN;PENCO;15834;15824;10;47367;47.7;22617;52.3;24750;440;menor;91.4;47.1;29.6;17.6;167710460.8;85196.00934
225;226;8;81;8108;REGIÓN DEL BIOBÍO;CONCEPCIÓN;SAN PEDRO DE LA PAZ;47511;47489;22;131808;47.8;62941;52.2;68867;1435.3;menor;91.4;46.4;33.6;12.8;143580130.4;63232.79166
226;227;8;81;8109;REGIÓN DEL BIOBÍO;CONCEPCIÓN;SANTA JUANA;6219;6211;8;13749;49.1;6751;50.9;6998;17.6;menor;96.5;53.9;31.3;22.6;1233219765;212005.2298
227;228;8;81;8110;REGIÓN DEL BIOBÍO;CONCEPCIÓN;TALCAHUANO;50599;50550;49;151749;48.1;72993;51.9;78756;1624.6;menor;92.7;45;27.5;17.5;145493090.8;122103.0336
228;229;8;81;8111;REGIÓN DEL BIOBÍO;CONCEPCIÓN;TOMÉ;23323;23311;12;54946;47.2;25919;52.8;29027;110.6;menor;89.3;50.5;28.9;21.6;771827563.3;182212.4831
229;230;8;81;8112;REGIÓN DEL BIOBÍO;CONCEPCIÓN;HUALPÉN;30722;30704;18;91773;47.4;43488;52.6;48285;2008.7;menor;90.1;46.2;27.9;18.3;71218738.32;57747.71403
230;231;8;82;8201;REGIÓN DEL BIOBÍO;ARAUCO;LEBU;9288;9262;26;25522;48.7;12441;51.3;13081;45.4;menor;95.1;50;33.6;16.4;896544006.6;267490.1021
231;232;8;82;8202;REGIÓN DEL BIOBÍO;ARAUCO;ARAUCO;13252;13211;41;36257;49.3;17875;50.7;18382;37.8;menor;97.2;48;31.7;16.3;1515518266;271736.0269
232;233;8;82;8203;REGIÓN DEL BIOBÍO;ARAUCO;CAÑETE;12855;12835;20;34537;48.2;16641;51.8;17896;31.7;menor;93;54.5;36;18.5;1747980314;286923.8112
233;234;8;82;8204;REGIÓN DEL BIOBÍO;ARAUCO;CONTULMO;2694;2687;7;6031;50.2;3028;49.8;3003;9.4;menor;100.8;53.6;31.5;22.1;1033771358;247329.5156
234;235;8;82;8205;REGIÓN DEL BIOBÍO;ARAUCO;CURANILAHUE;11301;11290;11;32288;49.0;15828;51.0;16460;32.1;menor;96.2;49.1;32.2;16.9;1593853083;251827.1088
235;236;8;82;8206;REGIÓN DEL BIOBÍO;ARAUCO;LOS ÁLAMOS;7721;7711;10;21035;48.5;10203;51.5;10832;34.9;menor;94.2;53.5;37.4;16.1;961624770.8;235085.5893
236;237;8;82;8207;REGIÓN DEL BIOBÍO;ARAUCO;TIRÚA;4052;4041;11;10417;49.9;5195;50.1;5222;16.6;menor;99.5;51.5;37;14.6;1019758789;205804.1651
237;238;8;83;8301;REGIÓN DEL BIOBÍO;BIOBÍO;LOS ÁNGELES;74936;74832;104;202331;48.4;97980;51.6;104351;115.5;menor;93.9;48.9;32.7;16.2;2779001548;317642.8188
238;239;8;83;8302;REGIÓN DEL BIOBÍO;BIOBÍO;ANTUCO;2008;1996;12;4073;48.5;1975;51.5;2098;2.1;menor;94.1;56.4;31.1;25.2;3097610482;390680.8904
239;240;8;83;8303;REGIÓN DEL BIOBÍO;BIOBÍO;CABRERO;11048;11028;20;28573;49.6;14174;50.4;14399;43.4;menor;98.4;48.4;30.5;17.9;1034227658;177259.9493
240;241;8;83;8304;REGIÓN DEL BIOBÍO;BIOBÍO;LAJA;8747;8734;13;22389;48.0;10744;52.0;11645;65.1;menor;92.3;53.8;33.1;20.7;543470069.4;97419.4252
241;242;8;83;8305;REGIÓN DEL BIOBÍO;BIOBÍO;MULCHÉN;10689;10665;24;29627;49.3;14597;50.7;15030;15.4;menor;97.1;52.6;32.7;19.9;3082443221;379762.5866
242;243;8;83;8306;REGIÓN DEL BIOBÍO;BIOBÍO;NACIMIENTO;10130;10107;23;26315;49.3;12962;50.7;13353;29;menor;97.1;51;32.9;18.1;1441694451;242252.2681
243;244;8;83;8307;REGIÓN DEL BIOBÍO;BIOBÍO;NEGRETE;3521;3518;3;9737;49.4;4813;50.6;4924;62.6;menor;97.7;53.1;33.6;19.5;247799050.3;95503.46631
244;245;8;83;8308;REGIÓN DEL BIOBÍO;BIOBÍO;QUILACO;1936;1931;5;3988;50.2;2001;49.8;1987;3.5;menor;100.7;61.5;29;32.4;1812783548;350061.0284
245;246;8;83;8309;REGIÓN DEL BIOBÍO;BIOBÍO;QUILLECO;3880;3875;5;9587;49.2;4720;50.8;4867;8.5;menor;97;57.5;30.2;27.3;1783508480;297620.7546
246;247;8;83;8310;REGIÓN DEL BIOBÍO;BIOBÍO;SAN ROSENDO;1500;1497;3;3412;48.7;1661;51.3;1751;36.9;menor;94.9;57.3;31.4;26;145618822.1;70279.84113
247;248;8;83;8311;REGIÓN DEL BIOBÍO;BIOBÍO;SANTA BÁRBARA;5447;5432;15;13773;48.6;6699;51.4;7074;11;menor;94.7;55.6;33.9;21.7;1996068534;285755.8543
248;249;8;83;8312;REGIÓN DEL BIOBÍO;BIOBÍO;TUCAPEL;6510;6500;10;14134;48.6;6876;51.4;7258;15.5;menor;94.7;56.3;31.9;24.4;1438157195;210256.5607
249;250;8;83;8313;REGIÓN DEL BIOBÍO;BIOBÍO;YUMBEL;10248;10234;14;21198;49.4;10465;50.6;10733;29.1;menor;97.5;53.6;27.6;26;1146883278;215543.0656
250;251;8;83;8314;REGIÓN DEL BIOBÍO;BIOBÍO;ALTO BIOBÍO;2137;2107;30;5923;51.3;3036;48.7;2887;2.8;menor;105.2;57.6;45.5;12.1;3414319255;321774.0964
251;252;9;91;9101;REGIÓN DE LA ARAUCANÍA;CAUTÍN;TEMUCO;104757;104553;204;282415;47.6;134289;52.4;148126;606.2;menor;90.7;43.8;28.2;15.5;764074904.6;140875.482
252;253;9;91;9102;REGIÓN DE LA ARAUCANÍA;CAUTÍN;CARAHUE;9598;9582;16;24533;49.7;12202;50.3;12331;18.3;menor;99;58.3;35;23.2;2189737575;358130.1818
253;254;9;91;9103;REGIÓN DE LA ARAUCANÍA;CAUTÍN;CUNCO;8036;8024;12;17526;50.0;8765;50.0;8761;9.3;menor;100;58.9;31.2;27.7;3131477595;355657.6998
254;255;9;91;9104;REGIÓN DE LA ARAUCANÍA;CAUTÍN;CURARREHUE;3281;3269;12;7489;51.0;3821;49.0;3668;6.4;menor;104.2;56.1;36.4;19.7;1948683222;316553.806
